,geometry,class,bio_19_prec_coldest_quarter,bio_04_temp_seasonality,bio_02_mean_diurnal_range,bio_03_isothermality,bio_12_annual_prec,bio_15_prec_seasonality,bio_08_mean_temp_wettest_quarter,bio_13_prec_wettest_month,bio_17_prec_driest_quarter,bio_09_mean_temp_driest_quarter,bio_10_mean_temp_warmest_quarter,bio_01_annual_mean_temp,bio_14_prec_driest_month,bio_16_prec_wettest_quarter,bio_06_min_temp_coldest_month,bio_18_prec_warmest_quarter,bio_11_mean_temp_coldest_quarter,bio_05_max_temp_warmest_month,bio_07_temp_annual_range
2041,POINT (39.73697659302703 3.031814083903384),0,5.0,136.61697,10.475,69.37087,349.0,118.41414,26.566666,113.0,5.0,24.083334,27.583332,25.7375,1.0,184.0,19.0,45.0,24.083334,34.1,15.099998
2042,POINT (35.371164312206155 2.870117332761871),0,84.0,55.976196,14.65,89.32927,332.0,61.31698,28.866667,66.0,32.0,28.25,28.95,28.333334,8.0,151.0,20.1,109.0,27.716667,36.5,16.4
2043,POINT (41.1113989777299 -1.253149821346732),0,146.0,114.437874,7.658334,68.377975,563.0,80.175575,27.2,132.0,27.0,28.3,28.533333,27.1625,2.0,304.0,22.0,122.0,25.65,33.2,11.200001
2044,POINT (39.73697659302703 3.193510835044898),0,6.0,141.20157,10.75,68.91025,363.0,117.742645,25.983334,118.0,6.0,23.483334,27.1,25.183332,1.0,195.0,18.3,47.0,23.483334,33.9,15.600002
2045,POINT (38.12000908161189 -0.040424187785379),0,3.0,111.11265,10.991667,74.77324,542.0,121.00684,24.416666,164.0,3.0,22.433334,25.183334,23.9625,1.0,288.0,16.9,198.0,22.433334,31.6,14.700001
2046,POINT (40.54546034873459 0.687211192351434),0,19.0,125.0606,11.2,73.684204,354.0,102.90069,28.733334,100.0,17.0,27.3,30.35,28.758333,5.0,159.0,21.8,134.0,27.183334,37.0,15.200001
2047,POINT (38.12000908161189 2.142481952625058),0,5.0,91.71248,10.708334,74.36342,357.0,114.306854,26.133333,113.0,5.0,24.3,26.6,25.429167,1.0,178.0,18.5,66.0,24.3,32.9,14.400002
2048,POINT (38.36255420832416 1.091453070205218),0,0.0,83.33485,11.916666,79.97763,362.0,129.1914,26.05,116.0,0.0,24.966667,27.066666,26.058332,0.0,171.0,18.9,165.0,24.966667,33.8,14.9
2049,POINT (35.12861918549388 0.929756319063705),0,397.0,86.91253,13.4,80.72289,1062.0,55.194542,17.3,161.0,90.0,18.966667,19.45,18.358334,21.0,420.0,10.9,236.0,17.3,27.5,16.6
2050,POINT (34.88607405878161 -1.33399819691749),0,194.0,74.196465,11.525,81.161964,1358.0,40.565987,18.416666,220.0,194.0,16.933332,18.783333,17.9375,45.0,503.0,11.0,348.0,16.933332,25.2,14.200001
2051,POINT (40.868853851017626 1.414846572488246),0,18.0,134.80836,11.041667,71.699135,374.0,101.88024,28.333334,99.0,15.0,26.883333,30.116667,28.4125,4.0,170.0,21.6,135.0,26.733334,37.0,15.4
2052,POINT (41.51564085558368 3.597752712898683),0,2.0,113.814705,11.950001,75.157234,268.0,120.85042,28.966667,87.0,2.0,26.666666,29.466667,27.941668,0.0,145.0,21.1,113.0,26.666666,37.0,15.9
2053,POINT (37.23067695033356 2.6275722060496),0,8.0,83.74294,11.9,79.865776,234.0,97.68285,27.4,63.0,8.0,25.683334,27.8,26.741667,1.0,113.0,19.4,51.0,25.683334,34.3,14.9
2054,POINT (38.92849283731946 -1.899936825912788),0,30.0,137.24286,9.516666,68.465225,647.0,96.284584,26.533333,163.0,30.0,24.133333,27.583332,26.041666,8.0,338.0,19.4,208.0,24.133333,33.3,13.9
2055,POINT (35.20946756106464 4.891326722030794),0,187.0,84.53979,13.633333,83.640076,753.0,43.942574,27.333332,123.0,102.0,27.65,28.166668,26.916666,23.0,293.0,19.4,133.0,26.05,35.7,16.300001
2056,POINT (39.89867334416854 3.436055961757169),0,6.0,138.99533,9.85,67.93103,355.0,119.696396,25.566666,119.0,6.0,23.016666,26.583334,24.716667,1.0,197.0,18.4,45.0,23.016666,32.9,14.500002
2057,POINT (35.61370943891843 0.52551444120992),0,296.0,63.08214,14.025,84.99999,849.0,48.69217,23.7,119.0,93.0,23.816668,24.45,23.579166,25.0,307.0,15.7,205.0,22.85,32.2,16.5
