,lat,lon,Date,search_state,species,Year,Month_of_year,YearMonth,Week_of_year,geometry
272,-1.2220597,36.7004931,08/06/2017,Kiambu,FAW,2017,6,2017-06,23,POINT (36.7004931 -1.2220597)
273,1.0020446,35.2456022,05/06/2017,Trans-Nzoia County,FAW,2017,6,2017-06,23,POINT (35.2456022 1.0020446)
274,0.0602005,36.2184913,02/06/2017,Nakuru,FAW,2017,6,2017-06,22,POINT (36.2184913 0.0602005)
275,0.99319,34.87029,31/05/2017,Trans-Nzoia County,FAW,2017,5,2017-05,22,POINT (34.87029 0.99319)
276,1.2644533,35.130475,30/05/2017,West Pokot,FAW,2017,5,2017-05,22,POINT (35.130475 1.2644533)
277,0.95475,35.61245,18/05/2017,Elgeyo-Marakwet County,FAW,2017,5,2017-05,20,POINT (35.61245 0.95475)
278,-0.57658598,37.43290221,15/05/2017,Kirinyaga County,FAW,2017,5,2017-05,20,POINT (37.43290221 -0.57658598)
279,-0.418800298,37.50348991,12/05/2017,Embu,FAW,2017,5,2017-05,19,POINT (37.50348991 -0.418800298)
280,0.73706324,34.68771768,13/04/2017,Bungoma County,FAW,2017,4,2017-04,15,POINT (34.68771768 0.73706324)
281,0.79611,34.665526,12/04/2017,Bungoma County,FAW,2017,4,2017-04,15,POINT (34.665526 0.79611)
282,0.77862,34.7895,11/04/2017,Bungoma County,FAW,2017,4,2017-04,15,POINT (34.7895 0.77862)
