lat,lon,Date,search_state,species
0.684313,34.308392,2021-05-14,Busia County,FAW
0.4708033,35.9860467,2019-02-15,Baringo,FAW
0.592266,34.573431,2021-06-16,Bungoma County,FAW
0.697594,34.346156,2020-04-22,Busia County,FAW
0.544665,34.262594,2019-09-02,Busia County,FAW
-3.214996,40.093899,2020-07-14,Kilifi County,FAW
0.536154,34.260046,2021-01-27,Busia County,FAW
-3.894417,39.764774,2021-07-15,Kilifi County,FAW
0.499269,34.288866,2019-10-10,Busia County,FAW
0.576037,34.576083,2021-05-04,Bungoma County,FAW
0.504638,34.138156,2019-10-08,Busia County,FAW
-0.2852298,36.0696643,2019-02-14,Nakuru,FAW
0.632709,34.26977,2019-05-21,Busia County,FAW
0.536165,34.25831,2019-09-09,Busia County,FAW
0.7,35.7,2018-07-03,Baringo,FAW
0.545441,34.263172,2019-09-11,Busia County,FAW
0.455764,34.245112,2019-05-16,Busia County,FAW
0.551105,34.261607,2019-08-28,Busia County,FAW
-0.08750075,34.78389669,2019-02-25,Kisumu County,FAW
-0.753287,35.447206,2018-08-10,Bomet,FAW
0.551105,34.261607,2019-08-28,Busia County,FAW
0.545441,34.263172,2019-09-11,Busia County,FAW
0.449948,34.215475,2021-04-20,Busia County,FAW
-3.270422,40.032677,2021-07-02,Kilifi County,FAW
0.592493,34.575853,2021-05-05,Bungoma County,FAW
-3.220196,39.993906,2021-05-18,Kilifi County,FAW
0.18357708,34.3011872,2019-07-10,Siaya County,FAW
0.791689,35.470147,2018-11-09,Uasin Gishu County,FAW
-3.914397,39.735465,2021-07-15,Kilifi County,FAW
0.583829,34.26234,2019-05-24,Busia County,FAW
0.499269,34.288866,2019-09-13,Busia County,FAW
0.544665,34.262594,2019-09-03,Busia County,FAW
0.499269,34.288866,2019-10-08,Busia County,FAW
0.624164,34.623939,2021-04-21,Bungoma County,FAW
0.537351,34.233165,2019-05-17,Busia County,FAW
0.536165,34.25831,2019-09-10,Busia County,FAW
-1.210481,36.8510154,2019-03-20,Nairobi County,FAW
-3.931055,39.725157,2021-05-13,Kilifi County,FAW
0.544665,34.262594,2019-08-16,Busia County,FAW
0.536165,34.25831,2019-08-28,Busia County,FAW
-1.269808,36.811119,2019-09-05,Nairobi County,FAW
0.551277,34.262762,2019-05-27,Busia County,FAW
0.544665,34.262594,2019-09-10,Busia County,FAW
0.547419,34.559242,2021-05-31,Bungoma County,FAW
0.398901,34.292684,2021-10-19,Busia County,FAW
1.0954153,34.7854587,2018-07-06,Trans-Nzoia County,FAW
0.499269,34.288866,2019-09-17,Busia County,FAW
-1.2105759,36.8514779,2019-03-20,Nairobi County,FAW
-0.4624579,37.0106757,2018-04-26,Nyeri,FAW
0.619419,34.340578,2019-09-26,Busia County,FAW
-3.423543,39.900172,2021-06-09,Kilifi County,FAW
0.581543,34.604224,2021-05-05,Bungoma County,FAW
-0.7756312,35.4639485,2018-08-10,Bomet,FAW
0.544665,34.262594,2019-08-16,Busia County,FAW
0.634052,34.28713,2019-05-29,Busia County,FAW
-3.201037,39.925225,2021-02-09,Kilifi County,FAW
0.496708,34.204908,2019-10-16,Busia County,FAW
-1.1703427,36.8581619,2019-07-11,Kiambu,FAW
0.614218,34.712431,2021-05-24,Bungoma County,FAW
-3.242843,40.003849,2021-06-22,Kilifi County,FAW
0.464761,34.102925,2019-08-21,Busia County,FAW
0.504638,34.138156,2019-10-07,Busia County,FAW
0.499269,34.288866,2019-09-26,Busia County,FAW
0.499269,34.288866,2019-09-25,Busia County,FAW
-3.915849,39.736432,2021-07-29,Kilifi County,FAW
0.499269,34.288866,2019-10-04,Busia County,FAW
0.697794,34.350563,2019-08-29,Busia County,FAW
-3.279695,40.041039,2021-05-23,Kilifi County,FAW
0.536165,34.25831,2019-09-03,Busia County,FAW
0.602632,34.36764,2019-05-25,Busia County,FAW
-3.422112,39.903822,2021-05-12,Kilifi County,FAW
0.9961338,35.0604139,2018-07-02,Trans-Nzoia County,FAW
-1.2619494,36.8012123,2019-03-14,Nairobi County,FAW
0.9109596,34.9367078,2018-06-23,Trans-Nzoia County,FAW
0.602632,34.36764,2019-05-25,Busia County,FAW
0.504638,34.138156,2019-09-24,Busia County,FAW
0.608626,34.542627,2021-10-18,Bungoma County,FAW
0.504638,34.138156,2019-09-16,Busia County,FAW
-3.581976,39.867073,2021-05-24,Kilifi County,FAW
0.544665,34.262594,2019-09-10,Busia County,FAW
0.536165,34.25831,2019-09-10,Busia County,FAW
0.535763,34.224197,2019-08-15,Busia County,FAW
0.695431,34.383592,2019-08-22,Busia County,FAW
0.56599,34.297139,2019-05-14,Busia County,FAW
0.499269,34.288866,2019-10-01,Busia County,FAW
-0.285823,36.070347,2019-12-17,Nakuru,FAW
0.56175,34.279145,2020-11-05,Busia County,FAW
0.558815,34.2702217,2019-09-11,Busia County,FAW
