,geometry,class,temperature_2m_min,temperature_2m,temperature_2m_max,total_precipitation_sum,surface_pressure,u_component_of_wind_10m,total_evaporation_sum,v_component_of_wind_10m,dewpoint_temperature_2m,volumetric_soil_water_layer_1,soil_temperature_level_1,split
763,POINT (37.801515487542055 2.291036004104961),0,293.0084131028917,299.11056116809425,306.22040335337323,0.031820540805154,92194.60793139103,-3.5701926438772,-0.030412960668197937,3.058441819450596,287.95741373585133,0.1500583312636108,302.15194946475026,train
764,POINT (37.02878833653567 1.211487953788089),0,289.89843983120386,296.9633397026537,304.56023502349854,0.03625645961644877,88985.2267549774,-1.0127242023900742,-0.03566071781743732,0.4635953127226654,286.94252071888747,0.18214342206162806,300.07395933147,train
765,POINT (35.69477832428599 2.209980224844298),0,292.2397110197279,299.69198599120676,307.3128946092394,0.05146950030317865,90906.26838535132,-1.3793860773808662,-0.04668407935080015,0.08449970699645447,287.01591326128226,0.07354308429103176,304.5561396179986,train
766,POINT (39.668350459142836 -0.692315743483663),0,295.30802313486737,301.21955420729677,308.8780039681329,0.023950918238520247,99354.67443920004,-1.2333350797795255,-0.023272669887066715,3.2046340218052602,292.0246484005828,0.13689631918477357,304.3007779169371,train
767,POINT (39.58463850052675 2.366909626622816),0,294.2990016937256,300.71309334589995,307.790183491177,0.02615145234009586,96704.74288791488,-1.9221483603617504,-0.025741385425337486,2.6280103412497544,289.5454950025143,0.14257195001571268,303.23619256773446,train
768,POINT (38.64033755189189 1.283983470794186),0,295.40868769751654,301.8481355232809,308.9543054368761,0.024304650022661974,97510.06276567052,-2.7883275046044447,-0.023745031024898507,3.3890874232074237,289.7823986169123,0.1600106128218516,305.51533248941234,train
769,POINT (35.20454399231655 3.466608125041765),0,294.7516107559204,301.5993355802079,308.5124092102051,0.03242741749964782,93754.08989275071,-2.7716446621105604,-0.03147960591983671,0.7971199999210454,288.6215017198685,0.052033247329430286,305.50128315861156,train
770,POINT (36.340518412823506 3.884570059883386),0,297.4331698947483,303.6576237115253,310.531633483039,0.030463977739952956,96253.12730585173,-4.3851556823119155,-0.04436722680434792,2.5968318551559966,289.32086028997304,0.05497869450423488,307.27430166809734,train
771,POINT (39.64477546571827 1.068050456207584),0,295.28091568417017,301.5696097950708,308.63948980967206,0.02562918252447541,98388.49318296282,-1.9473231372888375,-0.02470238209934905,3.5246350424181303,290.79790994724516,0.16027437056654192,305.22923695132846,train
772,POINT (37.79795284455574 3.120211963629291),0,294.7524127960205,301.47521919097187,308.9130466249254,0.020475225339243435,95246.16147802112,-4.868389779033391,-0.02023953289931847,2.1900636506288835,288.6936577420237,0.0414047296163283,305.5463337505137,train
773,POINT (41.341177118814485 -1.357386276030359),0,296.1805532243517,300.3879831212225,306.98585330115424,0.05518508471994892,100906.35556897469,-1.0551032926713393,-0.05115215356798015,2.0234476559552235,294.53608727735786,0.2072148009426929,302.4786881964645,train
774,POINT (36.713195700471566 2.232172240269256),0,292.3587466345893,298.4873242782095,305.4988137351142,0.04636167307727167,88978.4067317863,-1.954138940500663,-0.045105363345808454,0.30144282079703916,286.53350177708734,0.10324525442267068,304.6661579063541,train
