,geometry,class,tavg,prec,tmax,tmin,vapr,wind,split
732,POINT (35.955565321361206 3.240449348103226),0,29.483332,18.416666,36.525,22.416666,2.0525,2.1916668,train
733,POINT (37.59199839054975 -1.64923448878491),0,21.2,62.333332,26.533335,15.849999,1.7358335,2.8916667,train
734,POINT (34.94017969082531 -0.607816922807328),0,17.158335,153.5,23.033333,11.25,1.3891667,2.575,train
735,POINT (38.99335689794494 1.329820742385489),0,27.558332,26.583334,33.399998,21.716667,2.1308334,2.3,train
736,POINT (36.28203868177207 -1.311787939850621),0,21.741669,57.416668,28.516668,14.966664,1.5808333,2.8833334,train
737,POINT (39.216553946245725 2.449125630276872),0,26.758333,27.083334,32.28333,21.241667,2.0408335,2.5583334,train
738,POINT (39.661561930490265 2.097247293060708),0,27.500002,26.916666,33.158333,21.858332,2.0858335,2.6583335,train
739,POINT (37.75441211488323 1.954559971639391),0,25.75,25.166666,31.650002,19.883333,1.9783334,2.5000002,train
740,POINT (36.08554314177171 1.739136662064411),0,26.391665,31.416666,33.575,19.199999,1.9758334,2.1666667,train
741,POINT (36.41170332216507 0.458798868337805),0,17.266668,62.333332,24.691671,9.849999,1.3458333,2.1000001,train
742,POINT (37.80830156600049 -0.863308141528971),0,22.166666,61.0,27.741667,16.608332,1.8358334,3.0166667,train
743,POINT (38.28943923033612 -2.58145109181709),0,24.1,57.666668,29.316666,18.916666,2.045,2.6916666,train
744,POINT (37.243162749842455 2.824738029767881),0,27.5,21.333334,33.933334,21.075003,2.0325,2.3083332,train
745,POINT (39.70807040767778 -0.018756899537357),0,28.049997,26.75,33.3,22.825003,2.2483335,2.5,train
746,POINT (38.33122607539606 0.49189335094139),0,24.424997,39.333332,30.266665,18.583334,1.9566665,2.7250001,train
747,POINT (36.02638556502921 -0.056428862053206),0,18.841665,80.5,26.333336,11.358334,1.4650002,2.325,train
748,POINT (38.90193822508754 -3.935309205434487),0,23.916666,56.5,28.674997,19.15,2.2324998,2.841667,train
749,POINT (38.766565507885154 0.984456953631576),0,27.133331,27.666666,33.19167,21.058334,2.118333,2.2500002,train
750,POINT (38.66544202265319 -1.833505006145473),0,25.233332,52.833332,29.966667,20.53333,2.1358333,2.641667,train
751,POINT (40.43695066307874 2.433518442904488),0,26.508333,28.583334,31.783333,21.233335,2.0425,2.75,train
752,POINT (37.722228578754496 -2.090548987918933),0,22.65,50.916668,28.299997,16.983335,1.8633333,2.9833336,train
753,POINT (40.70984068299302 2.003277805144062),0,27.616669,28.833334,32.975002,22.283335,2.154167,2.825,train
754,POINT (37.581137570228414 -2.04486852941144),0,21.733332,60.083332,27.408333,16.083334,1.7849998,3.05,train
755,POINT (35.41639946028091 -0.41916500009539),0,15.133334,148.66667,20.541666,9.708333,1.2499999,2.2583332,train
756,POINT (35.691489197474 -0.881900754761741),0,15.866666,84.166664,22.508333,9.233334,1.3050001,2.5583332,train
757,POINT (38.38377851004088 -3.233014319506392),0,22.991667,64.333336,28.216667,17.758335,2.01,2.4750001,train
758,POINT (40.95393763629937 -0.803758002544209),0,27.474998,36.833332,31.666666,23.283333,2.47,2.8999999,train
759,POINT (37.85907801872923 -1.055764186008706),0,21.616669,63.166668,27.475,15.75,1.7766666,2.8999999,train
760,POINT (39.58608076249999 -3.677197183822807),0,24.6,79.083336,28.808332,20.374998,2.405,2.8166666,train
761,POINT (40.74391406641069 0.232772478477713),0,28.458336,29.666666,33.7,23.208334,2.3616667,2.8583333,train
