,geometry,class,tavg,prec,tmax,tmin,vapr,wind,split
1980,POINT (38.99785758419004 0.770373619116039),0,26.89166831970215,27.58333396911621,32.57500076293945,21.191667556762695,2.120833396911621,2.208333730697632,test
1981,POINT (37.83612560819652 2.801804811197471),0,26.691667556762695,20.66666603088379,32.08333206176758,21.274999618530273,2.008333444595337,2.2749998569488525,test
1982,POINT (38.81513351092851 1.693690987886141),0,27.07499885559082,25.41666603088379,32.733333587646484,21.433334350585938,2.0858333110809326,2.2083332538604736,test
1983,POINT (40.363223945128276 1.296913472964945),0,28.550003051757812,27.66666603088379,33.97500228881836,23.08333396911621,2.2208333015441895,2.766667127609253,test
1984,POINT (39.444422760808614 2.197786900310396),0,27.1583309173584,26.08333396911621,32.86666488647461,21.45833396911621,2.066666841506958,2.5333335399627686,test
1985,POINT (34.520355808633354 4.09096215542614),0,27.08333396911621,40.08333206176758,34.141666412353516,20.024999618530273,2.0791666507720947,2.0916664600372314,test
1986,POINT (34.210857870346004 0.196492839430778),0,22.09166717529297,132.0833282470703,27.92500114440918,16.29166603088379,1.87666654586792,2.6000001430511475,test
1987,POINT (38.4425187495559 -2.74935004566788),0,23.733335494995117,69.75,28.841665267944336,18.591665267944336,2.0283334255218506,2.5833334922790527,test
1988,POINT (39.410499860816664 3.044399440238245),0,25.600000381469727,28.91666603088379,30.933334350585938,20.258333206176758,1.96916663646698,2.6583335399627686,test
1989,POINT (35.81476549410788 4.571518449261439),0,28.200002670288086,37.75,34.858333587646484,21.53333282470703,2.1449999809265137,2.125000238418579,test
1990,POINT (37.54408900627394 -0.245562316280981),0,16.133333206176758,166.25,21.33333396911621,10.916666984558105,1.4158333539962769,2.508333206176758,test
1991,POINT (37.38367252914892 2.102497268561805),0,25.741668701171875,25.5,31.883331298828125,19.566667556762695,1.9574999809265137,2.3333332538604736,test
1992,POINT (38.956356160508975 -4.430928159665673),0,24.71666717529297,66.66666412353516,29.42500114440918,20.024999618530273,2.3933334350585938,2.875,test
1993,POINT (38.044383477331394 2.176044108522845),0,24.04166603088379,34.08333206176758,29.183332443237305,18.90833282470703,1.8874999284744263,2.4000000953674316,test
1994,POINT (39.376744806287654 -2.989083398410544),0,25.73333168029785,62.91666793823242,30.391664505004883,21.08333396911621,2.327500104904175,2.5416667461395264,test
1995,POINT (35.38727666695147 -0.745491960315401),0,16.616666793823242,110.58333587646484,22.89166831970215,10.375000953674316,1.34250009059906,2.4083333015441895,test
1996,POINT (35.64121675559637 -1.402289310271762),0,17.316667556762695,70.83333587646484,23.55000114440918,11.074999809265137,1.349166750907898,2.3999998569488525,test
1997,POINT (36.080672295394095 -0.609811116974052),0,14.808334350585938,69.5,21.48333168029785,8.083333969116211,1.2308332920074463,2.1999998092651367,test
1998,POINT (36.82321645730607 1.810336062713344),0,20.616666793823242,41.83333206176758,26.66666603088379,14.591666221618652,1.6366666555404663,2.3583333492279053,test
1999,POINT (35.219316004858165 3.95233575276666),0,28.058332443237305,28.75,35.375,20.766666412353516,2.071666955947876,2.2249999046325684,test
2000,POINT (38.195550480459346 -0.979268159524697),0,22.96666717529297,59.75,28.458335876464844,17.508333206176758,1.9533332586288452,2.566666603088379,test
2001,POINT (38.79458136240619 3.429927613170324),0,25.29166603088379,34.41666793823242,30.45833396911621,20.141664505004883,1.9358333349227905,2.616666793823242,test
2002,POINT (36.52868586733725 2.244533650816954),0,28.66666603088379,18.5,35.900001525878906,21.441667556762695,2.112499952316284,2.2083334922790527,test
2003,POINT (34.293197798303545 -0.982315014418823),0,22.025001525878906,96.58333587646484,27.95833396911621,16.116666793823242,1.8350000381469727,2.383333444595337,test
2004,POINT (37.614935201554474 0.786031606424964),0,23.441667556762695,40.5,29.96666717529297,16.933332443237305,1.8116668462753296,2.8249998092651367,test
2005,POINT (36.66703330756766 0.818241841),0,17.500001907348633,56.33333206176758,24.883333206176758,10.166666984558105,1.4216667413711548,2.0833334922790527,test
2006,POINT (35.09738956868948 1.94460469037679),0,21.049999237060547,64.0,27.008333206176758,15.058333396911621,1.6658333539962769,2.4750001430511475,test
2007,POINT (38.835104790853315 2.639888293394772),0,26.10833168029785,26.41666603088379,30.683332443237305,21.55000114440918,2.0099997520446777,2.4750001430511475,test
2008,POINT (38.99712690150454 -0.283614987294614),0,26.875,30.83333396911621,32.32499694824219,21.40833282470703,2.180000066757202,2.3500001430511475,test
2009,POINT (36.886283637062476 0.550139361685534),0,19.016666412353516,72.91666412353516,26.325002670288086,11.708332061767578,1.5116667747497559,2.325000047683716,test
2010,POINT (35.65613507617175 3.706499172733392),0,28.974998474121094,20.08333396911621,35.78333282470703,22.208330154418945,2.052500009536743,2.183333158493042,test
2011,POINT (38.15577825376983 -1.629064878903581),0,23.250001907348633,54.41666793823242,28.425003051757812,18.05000114440918,1.9141664505004883,2.8000001907348633,test
2012,POINT (34.93975903079766 3.86810025206487),0,27.800003051757812,33.33333206176758,35.125003814697266,20.474998474121094,2.060833215713501,2.0333333015441895,test
2013,POINT (37.19782751828122 1.241571427893422),0,19.600000381469727,62.16666793823242,25.34166717529297,13.84999942779541,1.6241666078567505,2.3249998092651367,test
2014,POINT (35.37680499828701 2.116138222874826),0,25.458335876464844,37.75,32.31666564941406,18.5916690826416,1.9366666078567505,2.2750000953674316,test
2015,POINT (35.433030897440595 -0.012505052028964),0,14.708333015441895,109.75,20.41666603088379,9.008333206176758,1.221666693687439,2.2666666507720947,test
2016,POINT (37.72299274720468 1.491912357819186),0,24.83333396911621,31.58333396911621,30.816665649414062,18.85833168029785,1.9191665649414062,2.491666793823242,test
2017,POINT (36.8412181125172 -2.285793817671839),0,20.391664505004883,46.66666793823242,26.058334350585938,14.741665840148926,1.6124998331069946,3.000000238418579,test
2018,POINT (40.153499604963 1.957595291898555),0,27.82499885559082,28.83333396911621,33.233333587646484,22.40833282470703,2.1083333492279053,2.924999952316284,test
2019,POINT (35.8603985503555 1.739489430017939),0,25.125,34.83333206176758,31.808334350585938,18.41666603088379,1.9108333587646484,2.258333444595337,test
2020,POINT (36.86284713619385 0.417240214634683),0,18.491666793823242,68.91666412353516,25.80000114440918,11.149998664855957,1.4825000762939453,2.2750000953674316,test
2021,POINT (38.497485165636554 0.014075725032563),0,25.683334350585938,32.83333206176758,31.04166603088379,20.33333396911621,2.107499837875366,2.433333396911621,test
